RegionName,VAChT,D2,5-HT1b,5-HT2a,5-HT1a,5-HTT,5-HT4,NET,mGluR5,GABAa,DAT,H3,a4b2,D1,MOR,CB1,M1,5-HT6,KOR
L_bankssts,0.32211522963826666,0.4055295973996616,0.3912423757371627,0.6786981836301214,0.4504634454791159,0.20864153319895512,0.6228077172377815,0.17598305643401507,0.5670624084665331,0.408445341402631,0.4425816293100334,0.09231777727810137,0.5422682316692938,0.3996279467941689,0.5781623859806522,0.5134330857685206,0.5024767789583255,0.7849476299650129,0.4429815012357105
L_caudalanteriorcingulate,0.8652637290482715,0.3144708398003881,0.41824144687122017,0.3676025830336114,0.3962788584316721,0.4774492211996656,0.4085635314586418,0.35622186183999766,0.8809880156394607,0.2473391259046877,0.5392431677610549,0.7719734720177176,0.7713585924966689,0.7423743098580711,0.9144724899181648,0.875313469313455,0.5976237458897473,0.6334695848580318,1.0
L_caudalmiddlefrontal,0.27683111577919944,0.1417953346064516,0.5102057155644547,0.5389325605058127,0.287431871336509,0.06585095053013938,0.33689162591269,0.21286186142286567,0.49760174713427147,0.4656363071505812,0.306567430734192,0.2633899579546471,0.8522070938906771,0.26039272456149737,0.6648912770601976,0.47773547288101964,0.31824032619035714,0.664691462618621,0.5296442993799129
L_cuneus,0.08931971495172163,0.1414577567627985,0.5495650312419882,0.604694441703476,0.18194319746464074,0.410784762962137,0.26933125694064475,0.38573354647150304,0.5748869890944285,0.7097208270901675,0.3567090722720643,0.21808627155156782,0.49732886024676326,0.44917362346455586,0.07920016162223621,0.24992617712893592,0.9616025475692437,0.9513516030879888,0.23766164517875518
L_entorhinal,0.1915532981053085,0.3003002232569436,0.11080535987736259,0.19944034349367282,1.0,0.9548448879940706,0.7957937112378619,0.022605588748223545,0.03319107030082898,0.057958220914404605,0.5401160963076588,0.01933233962200285,0.0,0.1306305413398192,0.5384698811881162,0.4051155246434559,0.1408238808626371,0.04199156906630451,0.0
L_fusiform,0.19250083723516795,0.46117207669399374,0.292680724136651,0.6312715642484202,0.6049209665378105,0.33192075419328915,0.620857457320867,0.14912763841029217,0.4804133716430759,0.5186630169983816,0.5178932576293434,0.14019767843888192,0.5534663753431246,0.5736342792247416,0.49117039095339926,0.6097080026236544,0.6266697884286737,0.6910774561635354,0.37494560839196084
L_inferiorparietal,0.20937890901878234,0.3420267351330137,0.4295264401318659,0.6290408078366544,0.36796941196205324,0.07297623437207658,0.5662361629155421,0.37898945510432414,0.6720856806108112,0.4891447495768048,0.24216809705338535,0.20723583840464602,0.7974325456295709,0.34598504443080624,0.5577792365961082,0.7088462325467695,0.8620959430823202,0.8897416000305411,0.5692582427008968
L_inferiortemporal,0.22557468183749727,0.5673474243155748,0.38680770973255557,0.8349447901462391,0.6724301335408347,0.1654478356086785,0.8863609073896007,0.11484376538879905,0.5460602782054967,0.49518794822035844,0.4376897355364792,0.060671637641108216,0.4875267126718095,0.5013086464252547,0.676125494445321,0.6563397745204502,0.6946230659594099,0.8622681438267639,0.48501160101261764
L_isthmuscingulate,0.20654268172309767,0.04182503240514221,0.26220154419878955,0.480855208654056,0.26389306227810894,0.29798655667868795,0.42129159003344063,0.05789159279781278,0.39194831371297684,0.3342025745248338,0.4310349920696902,0.10094178930902005,0.21689512077241993,0.6255376706958025,0.36688340704525185,0.19695367286270174,0.19340659195435592,0.2714836336603339,0.12536366084900405
L_lateraloccipital,0.12519643255946653,0.1938710867411197,0.423230516714383,0.5026988744872345,0.18820455725368326,0.14959616849847465,0.23862044998452522,0.38187040971802794,0.30616584399112345,0.6064111996328955,0.2620939964536117,0.10665296989127203,0.6184547136683963,0.13375217211389537,0.14727505393211368,0.4266785344658132,0.790685857426956,0.7448058534033444,0.32810308488856127
L_lateralorbitofrontal,0.3489672097701091,0.3699606101605771,0.5156981429564452,0.6960117565968448,0.4469286995180894,0.4198928220997242,0.6143008823709659,0.04352930387411682,0.4727817690890194,0.42955462291602603,0.55336997413452,0.31580484573296486,0.5701598137231085,0.642499282975755,0.7931993841939421,0.6371853019173258,0.41804835104228455,0.6014144210127473,0.6243731490531989
L_lingual,0.08361933819999354,0.1075182995333909,0.5166475129250195,0.5839780656911524,0.1809596229199792,0.39122881582737645,0.29050648378465366,0.07432623027400069,0.3044783109258623,0.731822977587973,0.4061128565118043,0.059187900899659335,0.30728418612887143,0.5865773061322747,0.10492567111161556,0.19742088564465107,0.3653254469930758,0.3628883946307514,0.09216952144798128
L_medialorbitofrontal,0.3642610377458848,0.3176046562289155,0.4374976627840034,0.671093565515088,0.5491302886842917,0.3443305823183855,0.6028931874741023,0.09413516936281868,0.8575088742361134,0.4557020458662497,0.46832529757541286,0.6351511480871661,0.6223909048009971,0.9635424773741724,0.8710246705015562,0.9356814429606307,0.8653319445457011,0.6813773718621935,0.5915184922357782
L_middletemporal,0.2880040335008079,0.5645469734153508,0.4204548145857831,0.8427647208343948,0.6230390972593305,0.16630231663190437,0.8650154051853505,0.24361255546370525,0.6764575275274215,0.5139203075389822,0.37146012147172114,0.130008994175546,0.5528076250297799,0.49775650864013404,0.7006655458145464,0.7145850322018327,0.7502117211003726,1.0,0.5389823478166077
L_parahippocampal,0.12576668298202556,0.2686854197333711,0.054365245265259064,0.2453529596751154,0.7469437891753599,0.486739815818711,0.45666567606306824,0.03521549067723728,0.0695190936905662,0.23600021460855627,0.5225039551102789,0.06610876182601105,0.3666895594803518,0.23158066589373846,0.3208294558482949,0.3051987265402766,0.0,0.10400115901852797,0.11397839275341327
L_paracentral,0.5451313328639308,0.10897833734221243,0.3961683549308281,0.24752417795131176,0.22772943077038516,0.3113821088842078,0.21589438183886656,0.8957325199008891,0.48337146461144437,0.2223470131240719,0.2985511367006449,0.43656519205707917,0.530158724980715,0.19504424297935288,0.49636100462044963,0.5424584080175702,0.5991737976388996,0.4684021874242758,0.624384232339694
L_parsopercularis,0.46934845646429,0.3242594306504023,0.608099671295551,0.7384974110890811,0.46848256062890997,0.27683958162764816,0.570641689694441,0.2800718493660804,0.8753486886205051,0.536861498937373,0.4999146393367253,0.34615245127550465,0.7479377863237033,0.4912461949620931,0.7628222645423742,0.678322369759387,0.5849332547166175,0.8501183037048284,0.7719334444091196
L_parsorbitalis,0.32444352790481257,0.26295263168358374,0.6435887302741686,0.8334098764315871,0.3657846412015704,0.23133964043842487,0.7212418381327338,0.2228369544682601,0.610824391688755,0.5416607985480052,0.25416964053240876,0.33892156933856543,0.7566630167971137,0.5269052908622742,0.732486594277618,0.8451701119047484,0.6508861670628705,0.8628818986370472,0.7483108615904
L_parstriangularis,0.3676085576999371,0.2506016597554927,0.5540979927711317,0.6487550310378754,0.3393053511866638,0.25694451371919746,0.466610018272853,0.3167873600372069,0.719634884332941,0.49685719525321825,0.44339935390382895,0.20479580561942548,0.8051442670322178,0.3789851226161828,0.7068812533475357,0.6522990744678436,0.4694012626396671,0.8248438912774528,0.6955453083233659
L_pericalcarine,0.16557387538103965,0.06168167921410497,0.9763353908035388,0.7668610416346453,0.0008275139272252851,0.4774811677332976,0.15896726906389683,0.2646022680202653,0.37268608333321873,0.9278436814738477,0.4432893755837986,0.1729341200819147,0.5090479284178381,0.5286006721862639,9.028394523442391e-05,0.05809337175711376,1.0,0.9585872739419176,0.1227613659103007
L_postcentral,0.41561898877936493,0.21731273312006408,0.3735737217891218,0.28893516910189315,0.23042023150974764,0.20421066537168192,0.17861790709970385,0.8911120412433857,0.46043767039897243,0.34346545887180147,0.2060609077166366,0.2236157552810559,0.6750528034963719,0.0,0.3963685357716111,0.5645344583823859,0.6237632899729988,0.5687083919110953,0.6728033153905553
L_posteriorcingulate,0.7275619772412038,0.18702210008529604,0.3255947417205511,0.45158340379148826,0.33678020635022166,0.3681861833583351,0.3665848769491328,0.41247275004794887,0.7889126986683458,0.2206455427288773,0.5258907030274604,0.4077423652263897,0.7018835753117671,0.6858056626100176,0.6761363235334411,0.594600281860298,0.5054649923978635,0.5089190659813737,0.3974726159319359
L_precentral,0.5161156630817785,0.14512663767800923,0.4729316585633534,0.37395591116832494,0.24369799673079623,0.1548226584405221,0.25481792907333684,0.7025805227622238,0.40544980693717614,0.3374363320546603,0.2583090633237531,0.241941267066569,0.7178244765804681,0.06616835566794262,0.5047066223149859,0.46794498525328504,0.3188138728695461,0.5379672176846133,0.6418736584289001
L_precuneus,0.2645401638991064,0.22659998502359194,0.430211168271129,0.6008587392358982,0.29652499507145946,0.2427450959499892,0.5566372873791997,0.4128945400930533,0.7598004955207366,0.47719047685432975,0.35312984752619925,0.3628888711584353,0.6653644233850041,0.5993553833426413,0.4799150473652874,0.5911231318797289,0.9207228097796317,0.8705695574016319,0.406516729537748
L_rostralanteriorcingulate,0.4632985628012911,0.35625690911836133,0.3796962581647085,0.5362462680163039,0.5101879755679092,0.4447472398182712,0.46155845715495486,0.1791901000133503,0.9763716388305026,0.40571931198759026,0.5782075553198669,0.8939792215202574,0.5684257773829671,0.8839722512754518,1.0,0.9334946170927785,0.6630243662628567,0.7946487136500016,0.9471302942050809
